Title,Text
CHARLIE FOXTROT,"â€œNot only are bloggers suckers for the remarkable, so are the people who read blogs
  .â€ - Seth Godin Introduction: If you run a website, chances are you already have a blog. And if you donâ€™t, maybe you should start one. A blog can boost your brand awareness, increase conversions, and improve customer service. Blogs help you connect with your audience on a more personal level and allow them to interact with you in an individual capacity. Blogging also helps to present viewers with fresh content regularly. With that said, here are 8 reasons why you should start blogging on your website today! ðŸ‘Š 1. Drive traffic to your website With the right blog, you can drive traffic to your site consistently. A blog is also a great way to generate sales. If people visit your blog and sign up for your email newsletter or download a resource that youâ€™ve put out there, they become potential customers or clients of your business. Blogs are a great way to get people engaged with your brand. 2. Convert traffic into leads Blogging helps your website to be more than just a place for people to visit. It gives them the opportunity to interact with your business in a way that isnâ€™t possible through other forms of content on your website. By blogging, you have the ability to help drive traffic back to your website and convert that traffic into leads. For example, if you blog about an important industry event and share it on Facebook and Twitter, you can expect a boost in new signups to your email list or visitors to your website. 3. Become an authority Blogs are a great addition to your site as they give you the ability to create authoritative content. They also help you establish credibility and become an expert in your field. Moreover, they provide you with an opportunity to build an audience that will help push your companyâ€™s brand recognition. 4. Build relationships with potential customers One of the most important aspects of starting a blog is establishing a connection with your potential customers. This can be done through engaging in conversation on your blog, posting stories about how you operate your business, or even sharing inspiring content that you think will resonate with them. These interactions also make it easier for you to keep up with what people are saying and sharing on social media. 5. You can repurpose blog content for social media This is a great way to get more mileage out of your blogs and increase traffic. However, it's important to use the right type of content on Facebook. If you write about topics like parenting, personal finance, or food, they might not be as relevant on Facebook as other types of posts. If you are looking to make money online, affiliate marketing has become one of the most popular. Affiliate marketing allows bloggers to earn commissions by promoting products and services from others. The blogger does not need to own any product or service to be able to promote them. All he needs is a link to the product or service which he wants to promote. 6. It drives long-term results A blog is an essential tool for building a long-term relationship with your audience. The best blogs will eventually become an extension of your companyâ€™s culture and marketing strategy, which means that each article you publish has the potential to create a lasting impact on your brand. Your blog serves as a platform through which you can share information, knowledge, and tips on your preferred topics. This allows you to provide valuable content with value in return. The more time readers spend on your website, the more chances there are for them to get familiarized with your business and become customers down the line. 7. Blogging helps with link building Your blog should be the top source of information for your business. By writing consistently on your blog, youâ€™ll want to build links back to your website and help increase its authority. You can use a free service like Google Analytics to track how many people are visiting your site. This will give you an idea of what kind of traffic is coming in from where. You can then decide whether or not it makes sense to invest money into advertising. If you have a blog that has been around for a while, you may find yourself having trouble getting new readers. If this is the case, there are many things you can do to get more traffic to your site. You need to make sure that you are providing value in some way to your audience. This means that you should be offering something of interest and benefit to them. You will also want to provide quality content on a regular basis. Make sure you have an RSS feed so that people can subscribe to your blog. This will allow them to receive updates whenever you post new articles. 8. It increases SEO Search engine optimization is a vital part of any successful digital marketing campaign. A well-written blog can improve your search rankings by helping you rank higher in search engines. When someone searches for a topic related to your niche, they will often click on the first few pages of results. These are usually the websites that have the most relevant content. If you want to get more traffic from Google and other search engines, make sure you use keywords throughout your site. This means using them in titles, headers, subtitles, and even in the body of your articles. If you do this, it will help people find what theyâ€™re looking for when they type in a keyword or phrase into their browser. This means that regardless of what your business offers, your target audience is likely searching for products or services like yours on search engines like Google. Other resources to help you get started with blogging Start your own blog checklist: Here is a quick checklist to get you started with you website blow. Remember imperfect action beats inaction, get started and keep publishing. Create your blog page then add the blog element Add the blog element to your page and select if you want compact or list view Start planning your blog topics by Identifying what resonates with your audience. If you are stuck you can use sites like - https://answerthepublic.com/ Create an outline serves your company goals. Write conversationally, like if you were telling a story to a friend Pick a catchy title. Use several media types (gif, short video, or image) to deliver your messages. Use data to back up claims or ideas - make sure to cite all sourcesâ— Have a call to action and or give your audience something to walk away with. Take 30 minutes to edit your post."
CHASER,The second fastest group at a Workout or CSAUP.
CHIPPENDALE,Posting shirtless to a Workout.
CIRCLE OF TRUST,"The terminating stage of each Workout, wherein the PAX form a circle and conduct Counterama, Namerama, Announcearama and the Ball Of Man. A Core Principle of F3Nation. Abbr"
CIRCUMSACK,Missing a Workout due to circumstances outside of oneâ€™s control.
CLASS-B DEPENDENT,"The woman a man loves and should marry, but is procrastinating into losing for good to a HIM willing to exude Commitment. Abbr: CBD"
CLOWN CAR,"Three or more PAX riding together to a Workout, typically outside of their usual AO. Often done in a Yaris for comic relief."
CLUB,A loose combination of people seeking companionship.
Clusterfreeze,Name for a beatdown in which the number of PAX posting exceeds the degrees Fahrenheit.
CLUSTERQ,"An abomination of a Q that elevates the self-confidence of all other PAX in attendance, thereby convincing PAX on the fence that they couldnâ€™t possibly do worse than THAT guy, leading to an influx in Q signups."
CLYDESDALE,"A Pax that tends toward the Meso- or Endomorphic body types, whose body weight exceeds the 200lb mark. A very tall ectomorph only sort of counts... Generally the opposite of the Shivering Whippet."
CNC,"Charlotte, North Carolina. Where F3 was born in 2011. The shining city on the hill, The new Jerusalem. A place worth defending from Goo Nation."
COA,Short for Course Of Action.
COAT HOLDER,A man who tolerates the lack of Virtue among the Leaders in his Community.
Coat tailing,A PAX's Inability/unwillingness to count reps so just waits for a batflipper to move to the next exercise then does two more reps before moving on.
COGNITIVE PURPOSE DISPARITY,An Organization with an unrecognized conflict between its Articulated Purpose and its Actual Purpose.
COLAM,"Concentric expansion method, by which a Region plants Nomads outside of its boundaries but within 100 miles."
COLLISION LEARNING,"Wisdom gained through Failure, Adversity and Argument."
COMFORT,"A state of physical ease and freedom from pain, constraint or challenge. The watchword of the Kimono."
COMFORT ZONE,A cultural myth of Goo Nation that encourages people to be in-Effective.
COMMITMENT,Unwavering loyalty to the Group and unflinching determination to accomplish its Mission. (Q3.9).
COMMUNITY,Two or more people who voluntarily live in close Proximity.
COMPETENCE,The ability to perform Mission-essential Tasks.
COMPETITION,The healthy process of pitting oneself against another man in an objectively measurable endeavor.
COMPLETELY STUPID AND UTTERLY POINTLESS,"Difficult, dirty and dangerous Events that build Trust between Team Members. Abbr: CSAUP."
COMZ,The Qâ€™s Commitment to Accelerating the quality of communication within his Group.
CONCENTRICA,The circular rings formed by a manâ€™s most Proximate relationships.
CONDITION,A dis-Advantage that cannot be remedied.
CONFINEMENT,The efforts made by the Governance of an Organization to maintain a perceived status-quo through the restraint of its Advantage-seeking Members.
CONSEQUENCE,The result of the Enforcement of a Standard.
CONSISTENCY,"Unchanging in nature, Standard or effect over time. (Q3.10)."
CONTENTMENT,Stability of emotion engendered by the consistent pursuit of Joy rather than Happiness. (Q3.11).
CONTROL,The perceived power to dictate peopleâ€™s behavior or the course of Events.
CONUS,The continental United States. Sea to shining sea. The lower 48.
CONVERGENCE,A gathering of two or more Groups for a specific Event.
COOP STRONG,Infectious strength of spirit and manifestation of Perseverance.
CORE PRINCIPLES,"F3â€™s Guardrails. Every Workout must be:<br /> <br /> 1. Free of charge<br /> 2. Open to all men<br /> 3. Held outdoors, rain or shine, heat or cold<br /> 4. Led by men who participate in the workout in a rotating fashion, with no training or certification necessary<br /> 5. End with a Circle of Trust"
CORRECTION,Zealously advocating for Shared Virtue. (Q2.6).
CORRECTOR,A HIM willing and able to provide Correction and take responsibility for the Outcome.
COT,Short for Circle Of Trust.
COUNTERAMA,Counting off the PAX in the COT to get the total number for the Workout.
Coupon,A weighty item utilized by the PAX as a burden in physical exercise. Most commonly a cinder block.
COURAGE,Setting aside fear to turn hardship into grace. (Q3.12).
COURSE OF ACTION,A planned Movement to solve a Problem or achieve an Outcome. Abbr: COA.
COUSIN EDDIE,A PAX from another Region who Posts without warning.
CREATOR,The Sky-Q.
CREDO,A concise Statement of beliefs that guides a HIM or inspires a Groupâ€™s Members into Sua Sponte Movement.
CRICKETS,A silent collective non-response to an intellectual or physical challenge.
CRUCIBLE,A finite set of trying circumstances that increase Perseverance through Adversity.
CSAUP,Short for Completely Stupid And Utterly Pointless.
CUIDADO,"An F3 Exhortation to be careful, danger this way cometh."
CUTTING THE HAM,Teaching and re-teaching processes and methods based on outdated or bad information that was taught to you. Accepting as truth a wrong way to do things simply because â€œthatâ€™s the way weâ€™ve always done itâ€. AKA: Whiskey D*cking.
D1,A PAX who played a Division I college sport â€” even soccer. Highly valued within a SL for their sense of Teamwork and high pain tolerance.
D2X,The Task formed by the intersection of a personâ€™s Dolphin and their Daffodil.
D3T,Short for Dirty Dangerous Difficult Things.
DAFFODIL,The people-group each person was born to Serve.
DAILY RED PILL,"The Qâ€™s daily Commitment to Accelerate his Fitness, Fellowship and Faith. Abbr: DRP"
DANCING IDIOT,The HIM who initiates a Movement by Influencing a First Follower.
DASH,"Winston-Salem, NC. A recently rejuvenated beacon of commerce."
DATE AND TIME GROUP,"The date, time and location of an Event. Abbr: DTG."
DDM,Short for Double Digit Midget.
DE OPPRESSO LIBER,To free the oppressed. Abbr: DOL.
DEAD DINOSAURS,Any carbon-based fuel source.
DECELERATE,To decrease the pace of Movement.
DECK CHAIR,A minor Disadvantage that causes Friction but does not threaten Effectiveness.
Deep Down Sad Clown (DDSC),"The second wave of Sad Clown Syndrome. This afflicts a man who has been posting to workouts, but has yet to be â€œall inâ€. Often he fools himself into thinking he is â€œfineâ€, but he hasnâ€™t truly had a mighty change of heart. He still holds much back and has not moved to the #Servant end of the Sur-Ser Continuum."
DEINKE,"Digital weinke, often from a mobile device. (See Weinke)"
DELEGATION,The Qâ€™s entrustment the performance of a Task to a Team Member
DELIBERATUDE,"To think, speak and act with a deliberate attitude that exudes Commitment."
DERBY (THE),The practice of forming a Ball of Man at the beginning of a COT in order to engender feelings of comfort and acceptance between the Pax with the purpose of creating an environment of increased vulnerability and sharing.
DESIGNATE MAIN EFFORT,The designation by the Q of the Main Effort in order to maximize IMPACT. Abbr: DME
DIAPER CHANGER,A Task that must be done but is not within anyoneâ€™s D2X.
DIRTY DANGEROUS DIFFICULT THINGS,Events that forge bonds between men. (See also: CSAUP)
DISADVANTAGE,"An inferior circumstance caused by nature, un-Virtuous Leadership or Inertia."
DISRUPTER,A Leader who is a powerful Influencer of Movement toward Group Advantage.
DISRUPTION,Disturbance to the Status Quo. (F1).
DO,Short for Drive On.
DOL,Short for De Opresso Liber.
DOLPHIN,The Task a person was born to do best.
DOUBLE DIGIT MIDGET,A Workout (or other Event) at which 10 or more PAX Post. Abbr: DDM.
DOUBLE DOWN,The back-to-back performance of two Workouts or CSAUPs.
DOWN DOWN,An aspect of Service that requires the making of a local down payment to have Down Range Impact.
DOWN RANGE,Out of town and unavailable to participate in a Workout or other Event. Abbr: DR.
DOWN RANGE MISSION,An OCONUS Service trip. Abbr: DRM.
DOWN RANGE WORKOUT,An OTB conducted DR with two or more PAX. Abbr: DRW.
DOWNPAINMENT,The daily physical price required to increase oneâ€™s Fitness.
DR,Short for Down Range.
DRAG,The external circumstances of a Qâ€™s life that hinder Missionality.
DRIPPER,A HIM adept at diplomatic Persuasion of difficult people.
DRIVE BY FARTSACKING,"When a Pax who didn't post for the beatdown drives up to the Pax who did and begins chatting them up, mid-workout, whilst enjoying the A/C in his car."
DRIVE ON,The determination to maintain Momentum through Obstacles. Abbr: DO.
DRIVE-BYâ€™s-SHORTS,Workout shorts too small to conceal oneâ€™s scrotum.
DRM,Short for Down Range Mission.
DRP,Short for the Daily Red Pill. (Q1.2).
DRW,Short for Down Range Workout.
DSG,Short for Dynamic Shame Goading.
DTG,Short for Date And Time Group.
DUMPTY,A man so overcome by his Jester that putting his life back together requires something beyond the reach of the King (or all of his horses and men).
DURABILITY,The state of physical and emotional toughness that is fostered through deliberate exposure to Hardship and Chaos.
DUSTY,"An injury sustained during a BeatDown, or less heroically (as those of us in the 3rd 500 of life know) because we slept on it wrong. Inspired by often injured NHL hockey player Dustin Penner who famously & laughingly threw his back out while eating pancakes at the breakfast table with his wife. Ironic Adjunct: he ended up being traded to another team for a 4th round pickâ€¦ on National Pancake Day."
DYNAMIC,"Something that is energetic, vigorously active and forceful."
DYNAMIC EQUILIBRIUM,Relational stability within the Concentrica.
DYNAMIC SHAME GOADING,Correction through forceful inducement of Shame. Abbr: DSG
EDM,EDM- short for Emotional Direct Message.
EFFECTIVE LEADER,A person who can Competently apply the Leadership Skills.
EFFECTIVENESS,The degree to which a person or Group is Purposeful.
EG,Abbreviation for â€œfor exampleâ€.
EH,Short for Emotional Headlock.
ELDER,A PAX with some gray in his beard.
"ELVIS (as in, to pull one)",Leaving a Workout in progress to find a place to knock out the business a man is supposed to knock out prior to Startex.
ELVIS CAPE,"Napkin, Paper Towel, a hat, a sock, or any other implement taken to the woods in order to assist the Pax pulling an Elvis."
EMOTIONAL,Something notional as opposed to actual. Usually followed by something actual as opposed to notional. EG: the Emotional Headlock.
EMOTIONAL DIRECT MESSAGE,"A phenomenon that occasionally occurs when the PAX MC turns to personal attacks (aka busting chops). Afterward, the PAX who experienced butt hurts then reaches out to the offender with an emotional text or dm to continue and follow up on the offensive MC."
EMOTIONAL FATPANTS,A crutch retained against future backsliding.
EMOTIONAL HEADLOCK,The method by which most FNGs are recruited into F3. Abbr: EH.
EMOTIONAL TAINT-KICK,A strong remonstration against Knox Rolling and a Spur to fight inertia. Abbr: ETK.
EMOTIONALLY ERECT,"A state of heightened awareness the Q achieves in order to optimize all-around performance during a Workout, CSAUP or any other Event requiring Zeal. A form of Deliberatude."
ENDEX,"The terminating time and place of any Workout, CSAUP or other Event. The opposite of Startex."
ENFORCEMENT,An external force that applies a Standard.
ENGAGE YOUR CORE,Tucking of the Six to neutral to maintain proper form and avoid injury. Abbr: EYC.
EPSTEINâ€™S MOTHER,"A half-baked excuse for not Posting delivered in advance of the Workout to avoid accusations of Fart Sacking. More generally, any excuse for Knox Rolling."
EQUIPPING,Matching a Teamâ€™s Memberâ€™s Skills to its Mission. (Q4.7).
EQV,Short for Esse Quam Videri.
ESSE QUAM VIDERI,To be rather than seemâ€”the result of disciplined DRP and the essence of the HIM. Abbr: EQV.
ESSENTIAL,A standard of moral excellence that cannot be compromised.
ETHICS,A set of moral principles related to a specified Group.
ETK,Short for Emotional Taint-kick.
EVENT,"Something that occurs, whether planned or not."
EVENT-Q,The Q directly responsible for the Outcome of a designated Event.
EXCUSE BAG,The Emotional bag of those things proffered to justify Knox Rolling.
EXERCISE,Something done during a Workout to increase 3S2T.
EXHORTATION,Incentivizing the breach of Obstacles. (Q3.11)
EXICON,F3â€™s Exercise Lexicon.
EXISTENTIAL CONTINUITY,The absence of a Purpose other than to be.
EXPLANATION,The reason why F3 is the Solution to the Problem.
EYC,Short for Engage Your Core.
F-3TENTION,"Coffeeteria Retention Rate; the percentage of PAX that stay after a workout to participate in PLC. Most often used as a hashtag when reporting daily coffeeteria counts via the Twitters, because #2ndFcountstoo."
F3,Fitness Fellowship and Faith.
F3 LEXICON,F3â€™s particularized language of leadership.
F3 MISSION,"To Plant, Serve and Grow menâ€™s small Workout groups in order to reinvigorate Male Community Leadership."
F3 NAME,"What the Q names an FNG after his first Workout, and what he shall be known as for ever more."
F3 NATION,The PAX who comprise the entire Organization known as F3. Abbr: F3N.
F3 ROYALTY,A facetious honorarium bestowed to reinforce IM3. Abbr: F3R.
F3 YEOMAN,A member of the non-existent F3 Royalty who gives it for the PAX. Abbr: F3Y.
F3C,"Short for F3Connect, a search for an F3 Brother with special expertise, knowledge or need."
F3N,Short for F3 Nation.
F3R,Short for F3 Royalty.
F3Y,Short for F3 Yeoman.
FAILURE,An undesirable Outcome that builds the Leadership Foundation. (Q4.5).
FAITH,A manâ€™s Right relationship with his Creator.
FALSE ENTHUSIASM AND BULLCRAP ATTITUDE,Fake Zeal expressed to raise spirits when fatigue has set in during a Workout or other Event. Abbr: FEBA.
FARTSACK,Bed.
FARTSACKING,Staying in bed instead of Posting.
FAST PAY,"Giving up all you have for your Brother, before he asks for it."
FASTHOLE(S),"A term commonly used, in Jacksonville, for the elite group of Pax that can run faster than the rest of us."
FAT TED,A Mascot who seeks Legacy.
FATHERTIME,"That PAX who swears he can read the Qâ€™s watch from up to 20 yards away. â€œThis 7 minute AMRAP has to be over by now.â€ â€œProbably should head back for Mary to be safe.â€ â€œThis has to be the last Mary exercise, Iâ€™m sure itâ€™s 6:00 now."""
FATPANTS,The 40-inch pleated kakis a man keeps in the back of his closet as insurance against the loss of control over his FUPA.
FBA,"Short for Freakinâ€™ BadASS (emphasis on second syllable): any thing, man or circumstance that is all that and a chicken hat."
FBE,Short for Follow By Example.
FEBA,Short for False Enthusiasm and Bullcrap Attitude.
FELLOWSHIP,A manâ€™s Right relationship with those in Proximity.
FERN,"The potted plant next to the elliptical trainer to which a Sad Clown talks during his solo gym workout. Also generally, a pay-to-play gym."
FIA,Females In Action.
FIAâ€™d,A PAX who fails to Post in accomodation of his Mâ€™s FiA schedule.
FIRST BELL,That which rings in the Super Unknown when a Sad Clown makes his FNG Post.
FIRST ESTATE,The clergy. Abbr: 1E.
FIRST F,Fitness. AKA: 1F.
FIRST FOLLOWER,The first man to join a Movement initiated by a Dancing Idiot.
FISHER OF MEN,A HIM dedicated to Leadership development. Abbr: FOM.
FITNESS,A manâ€™s Right relationship with himself.
FKA,Short for Formerly Known As.
FLAMING CROPDUSTER,"When the Q calls an exercise thatâ€™s so hard, one or more Pax decides to leave the workout and go home."
FLESH ANCHOR,The Member of the Team who moves at the slowest pace.
FLUX,The emotional reaction to the peaks and valleys that appear throughout a manâ€™s life.
FLY,An exuberant display of the American and/or F3 Flag.
FMG,Short for Frank Martin Gangsta.
FNG,Short for Friendly New Guy.
FO3,Short for Friend Of Three.
FOCUS ON FORM,Ensuring the proper execution of an Exercise. Abbr: FOF.
FOF,Short for Focus On Form.
FOG OF WAR,The confusion that surrounds and frustrates the performance of a Mission. AKA: Friction.
FOGAREA,New England.
FOLLOW BY EXAMPLE,A HIMâ€™s demonstration of Leadership by willingly following directions when not the Q.
FOM,Short for Fisher Of Men.
FORMERLY KNOWN AS,Something or someone that used to be known by a different name. Abbr: FKA.
FOURTH ESTATE,The media. Abbr: 4E.
Fraziered,"To cause someone to run too hard, too long, or at an exhausting pace. This happens when you join a group of PAX for a pre-run, and the strongest runners assure you theyâ€™ll keep your pace. However, these runners gradually push harder until, by the end of the run, youâ€™re matching their pace, leaving you too tired to fully participate in the BD. Named after Frazier, who was notorious for this."
FREED TO LEAD,The F3 bible (of sorts). Order your copy today!! Abbr: FTL.
FRICTION,Loss of Momentum due to excessive complexity and lack of PD. AKA: Fog of War.
FRIEND OF THREE,A person not in F3 who supports F3â€™s Mission (whether they know it or not). Abbr: FO3.
FRIENDLY NEW GUY,A man Posting to his first Workout. Abbr: FNG.
FTL,Short for Freed To Lead.
FULL STARSKY,"An advanced form of the Starsky. The act of Fartsacking the Workout, yet still Posting for Coffeeteria in full workout attire, giving the impression to non-F3ers that you actually worked out with the group."
G-SCHOOL,A Leadership training session designed to Accelerate Growth.
G2,Information.
G3L,"The four quadrants of Preparedness: Get Right, Live Right, Lead Right and Leave Right."
GAUNTLET,A challenge thrown down by a Region to F3Nation.
GBA,Short for God Bless America.
GEAR,"Distinctive F3 Workout apparel and equipment, available exclusively at the F3 Gear Store."
GET RIGHT,The pursuit of proper personal alignment. (Q1).
GIA,Short for Give It Away.
GINGER,A red-haired PAX.
GINGER KING,A particularly Zealous red-haired PAX.
GIVE IT AWAY,The Qâ€™s habit of spreading F3. Abbr: GIA.
GLOBAL WARMING,The theory that global temperatures are increasing due to industrialization.
GLOOM HORN,"A PAXâ€™s hind parts (his six), from which the emission of noxious fumes may result in a scattering of any or all PAX within the Blast Radius. (i.e. The Memphis PAX sounded his Gloom Horn and everyone ran away)"
GO COUGS,An expression of support for an idea or Pax. Particularly if said idea or Pax originates anywhere in the State of Washington. (West of the Shastas)
GOADING,The stimulation of a desired action or reaction in another.
GOD BLESS AMERICA,Self-explanatory. Abbr: GBA.
GOLUM,A Sad Clown who trails behind a Workout (often with a dog as a prop) seeking the SecondF without subjecting himself to the FirstF.
GONADS,Acronym for the Gathering Of North American Distance Sprinters. A shadowy running group loosely affiliated with F3. It may (or may not) still exist.
GOO,The cultural philosophy of universal Happiness.
GOO NATION,Those for whom Goo is a legitimate Organizational Purpose.
GOOIST,A practitioner of Goo.
GOVERNANCE,"The person or people who (by formal election, appointment or fiat) control the managing apparatus of an Organization or Community."
GRACE,All the things a man should be.
GRACELAND,The act of stopping at oneâ€™s house â€” or perhaps a port-a-potty â€” during a workout to take an Elvis.
GRINDER,"A periodic, Purposeful and Proximate meeting between the Members of a Group to Accelerate Effectiveness."
GROUP,A voluntary combination of two or more people. (F3).
GROW,Aiding the transformation of Nomads into Regions and assisting Regions in Planting Nomads. The third Task of F3â€™s Mission.
GROW RUCK,The combination of a G-School with a GORUCK IOT Accelerate the Leadership Development Process in a Nomad or Region.
GUARDRAILS,Foundational precepts that protect and Incentivize Acceleration to Advantage.
GUEST-Q,An appearance by a Q from a distant AO at the invitation of the SiteQ.
GUTHRIDGE,"A technically competent Q who replaces a charismatic Q. More generally, a short-term Leadership fix."
HABIT,A regular tendency that is hard to give up.
HAPPINESS,A transitory positive feeling governed by mere external circumstance.
HAPPY CLOWNS,Those PAX who focus first on not leaving the Six behind.
HARAMBE,A symbol of hope to the Bearded Millenial.
HARD COMMIT,A PAXâ€™ firm acknowledgement that he will Post for a pending Workout or Event. Abbr: HC.
HARDSHIP,Suffering caused by intense Adversity
HATE,Those PAX still in their 30s.
HATE HATE,Those PAX still their 20s.
HAWK,Extreme cold in the Gloom.
HC,Short for the Hard Commit.
HDHH,Short for a Hump Day Happy Hour.
